PUBID|Building identifier
REGION|Census region
CENDIV|Census division
PBA|Principal building activity
FREESTN|Freestanding building
SQFT|Square footage
SQFTC|Square footage category
WLCNS|Wall construction material
RFCNS|Roof construction material
RFCOOL|Cool roof materials
RFTILT|Roof tilt
BLDSHP|Building shape
GLSSPC|Percent exterior glass
EQGLSS|Equal glass on all sides
SUNGLS|Glass sides most sunlight
NFLOOR|Number of floors
BASEMNT|Number of underground floors
FLCEILHT|Floor to ceiling height
ATTIC|Attic
ELEVTR|Elevators
NELVTR|Number of elevators
ESCLTR|Escalators
NESLTR|Number of escalators
YRCON|Year of construction
YRCONC|Year of construction category
MONCON|Month ready for occupancy
RENOV|Any renovations
RENADD|Addition or annex
RENRDC|Reduction of floorspace
RENCOS|Cosmetic improvements
RENINT|Interior wall re-configuration
RENRFF|Roof replacement
RENWLL|Exterior wall replacement
RENWIN|Window replacement
RENHVC|HVAC equipment upgrade
RENLGT|Lighting upgrade
RENPLB|Plumbing system upgrade
RENELC|Electrical upgrade
RENINS|Insulation upgrade
RENSAF|Fire, safety, or security upgrade
RENSTR|Structural upgrade
RENOTH|Other renovation
ONEACT|One activity in building
ACT1|First activity in building
ACT2|Second activity in building
ACT3|Third activity in building
ACT1PCT|Percent used for first activity
ACT2PCT|Percent used for second activity
ACT3PCT|Percent used for third activity
PBAPLUS|More specific building activity
|More specific building activity, continued
DRYCL|Dry cleaning onsite
VACANT|Completely vacant
CUBE|Open plan office space
CUBEC|Percent open plan
CUBELOC|Location of open plan
RWSEAT|Religious worship seating capacity
PBSEAT|Assembly seating capacity
EDSEAT|Number of classroom seats
FDSEAT|Food service seating capacity
HCBED|Licensed bed capacity
NRSBED|Licensed bed capacity
LODGRM|Number of guest rooms
COURT|Food court
FACIL|On a multibuilding complex
FEDFAC|Federal complex
FACACT|Type of complex
MANIND|Manufacturing industrial complex
PLANT|Central physical plant on complex
FACDST|Plant produces district steam
FACDHW|Plant produces district hot water
FACDCW|Plant produces district chilled water
FACELC|Plant produces electricity
BLDPLT|Central plant in building
GOVOWN|Government owned
GOVTYP|Type of government
OWNTYPE|Building owner
NOCC|Number of businesses
NOCCAT|Number of businesses category
OWNOCC|Owner occupied or leased to tenant(s)
OWNOPR|Owner responsible for operation and maintenance of energy systems
OWNPPR|Owner has purchasing power for energy-related equipment
NWNPPR|Nonowner with purchasing power for energy-related equipment
NWNOPR|Nonowner responsible for operation and maintenance of energy systems
WHOPPR|Who has purchasing power
MONUSE|Months in use
OCCUPYP|Percent occupancy
LODOCCP|Lodging room percent occupancy
OPEN24|Open 24 hours a day
OPNMF|Open during week
OPNWE|Open on weekend
WKHRS|Total hours open per week
WKHRSC|Weekly hours category
NWKER|Number of employees
NWKERC|Number of employees category
HT1|Energy used for main heating
HT2|Energy used for secondary heating
COOL|Energy used for cooling
WATR|Energy used for water heating
COOK|Energy used for cooking
MANU|Energy used for manufacturing
CAPGEN|Electricity generation capability
GENR|Energy used for electricity generation
ANYEGY|Any energy used
ELUSED|Electricity used
NGUSED|Natural gas used
FKUSED|Fuel oil/diesel/kerosene used
FKTYPE|Specify fuel oil, diesel, or kerosene
PRUSED|Bottled gas/LPG/propane used
STUSED|District steam used
HWUSED|District hot water used
CWUSED|District chilled water used
WOUSED|Wood used
COUSED|Coal used
SOUSED|Solar used
OTUSED|Other energy source used
ELHT1|Electricity used for main heating
NGHT1|Natural gas used for main heating
FKHT1|Fuel oil used for main heating
PRHT1|Propane used for main heating
STHT1|District steam used for main heating
HWHT1|District hot water used for main heating
WOHT1|Wood used for main heating
COHT1|Coal used for main heating
SOHT1|Solar used for main heating
OTHT1|Other source used for main heating
ELHT2|Electricity used for secondary heating
NGHT2|Natural gas used for secondary heating
FKHT2|Fuel oil used for secondary heating
PRHT2|Propane used for secondary heating
STHT2|District steam used for secondary heating
HWHT2|District hot water used for secondary heating
WOHT2|Wood used for secondary heating
COHT2|Coal used for secondary heating
SOHT2|Solar used for secondary heating
OTHT2|Other source used for secondary heating
HEATP|Percent heated
HTLS50|Heated to less than 50 degrees
FURNAC|Furnaces that heat air directly
PKGHT|Packaged heating units
BOILER|Boilers inside the building
STHW|District steam or hot water piped in
HTPMPH|Heat pumps for heating
SLFCON|Individual space heaters
OTHTEQ|Other heating equipment
FURNP|Percent heated by furnace
PKGHP|Percent heated by packaged heating
BOILP|Percent heated by boiler
STHWP|Percent heated by dist steam/hot water
HTPHP|Percent heated by heat pumps
SLFCNP|Percent heated by individual space heaters
OTHTP|Percent heated by other heating equipment
MAINHT|Main heating equipment
NWMNHT|Main heating replaced
PKGHTTYP|Type of packaged heating
PKGFURN|Packaged heating component: Furnace
PKGHTP|Packaged heating component: Heat pump
PKGCOIL|Packaged heating component: Heating coil
PKGPIU|Packaged heating component: Powered induction unit
PKGDUCT|Packaged heating component: Duct reheat
BLRRAD|Boiler system: Radiators
BLRFNCL|Boiler system: Fan coil units in rooms
BLRINDC|Boiler system: Induction units
BLRLOOP|Boiler system: Water loop heat pump
BLRAIR|Boiler system: Central air handler
BLRPKG|Boiler system: Packaged unit
BLRDUCT|Boiler system: Duct reheat
DHRAD|District heat system: Radiators
DHFNCL|District heat system: Fan coil units in rooms
DHINDC|District heat system: Induction units
DHLOOP|District heat system: Water loop heat pump
DHAIR|District heat system: Central air handler
DHPKG|District heat system: Packaged unit
DHDUCT|District heat system: Duct reheat
HPHPKG|Heat pump heating system: Packaged unit
HPHSPLT|Heat pump heating system: Split system
HPHROOM|Heat pump heating system: Individual room heat pump
HPHMINI|Heat pump heating system: Ductless mini-split
HPHVRF|Heat pump heating system: Variable refrigerant flow
HPHAIR|Heat pump heating type: Air source
HPHGRD|Heat pump heating type: Ground source
HPHDUAL|Heat pump heating type: Dual source
HPHWTR|Heat pump heating type: Water loop
HPHBKUP|Heat pump backup energy source
SHRDNT|Individual heater: Infrared radiant
SHBBRD|Individual heater: Baseboard
SHPORT|Individual heater: Portable space heater
SHWALL|Individual heater: Wall heater
SHFURN|Individual heater: Individual furnace
SHUNIT|Individual heater: Unit heater
SHPTAC|Individual heater: Heating element in PTAC
OTSTRP|Other heat component: Heating coil or heat strip
OTDUCT|Other heat component: Duct or electric reheat
OTPIU|Other heat component: Powered induction units
HTVCAV|Heating ventilation: Central air handling with CAV
HTVVAV|Heating ventilation: Central air handling with VAV
HTVFLR|Heating ventilation: Underfloor air distribution
HTVOAS|Heating ventilation: Dedicated outside air system
HTVDEM|Heating ventilation: Demand controlled ventilation
HTVNON|Heating ventilation: None of these
ELCOOL|Electricity used for cooling
NGCOOL|Natural gas used for cooling
FKCOOL|Fuel oil used for cooling
PRCOOL|Propane used for cooling
STCOOL|District steam  used for cooling
HWCOOL|District hot water used for cooling
CWCOOL|District chilled water used for cooling
OTCOOL|Other source used for cooling
COOLP|Percent cooled
RCAC|Residential type central A/C
PKGCL|Packaged A/C units
CHILLR|Central chillers inside the building
CHWT|District chilled water piped in
HTPMPC|Heat pumps for cooling
ACWNWL|Individual room air conditioners
EVAPCL|Evaporative or swamp coolers
OTCLEQ|Other cooling equipment
RCACP|Percent cooled by central A/C
PKGCP|Percent cooled by packaged A/C units
CHILP|Percent cooled by central chillers
CHWTP|Percent cooled by district chilled water
HTPCP|Percent cooled by heat pumps
ACWNWP|Percent cooled by individual room A/C
EVAPP|Percent cooled by swamp coolers
OTCLP|Percent cooled by other cooling equipment
MAINCL|Main cooling equipment
NWMNCL|Main cooling replaced
PKGCLTYP|Type of packaged cooling
CHLAIRCL|Chiller type: Air-cooled
CHLWTRCL|Chiller type: Water cooled
CHLABSRP|Chiller type: Absorption
HTRCHLR|Heater chiller
CHLAIR|Chiller system: Central air handler
CHLFNCL|Chiller system: Fan coil units in rooms
CHLINDC|Chiller system: Induction units
CHLLOOP|Chiller system: Water loop heat pump
CHLBEAM|Chiller system: Chilled beam
CHLPKG|Chiller system: Packaged unit
CHLDUCT|Chiller system: Duct reheat
DCWAIR|District CW system: Central air handler
DCWFNCL|District CW system: Fan coil units in rooms
DCWINDC|District CW system: Induction units
DCWLOOP|District CW system: Water loop heat pump
DCWBEAM|District CW system: Chilled beam
DCWPKG|District CW system: Packaged unit
DCWDUCT|District CW system: Duct reheat
HPCPKG|Heat pump cooling system: Packaged unit
HPCSPLT|Heat pump cooling system: Split system
HPCROOM|Heat pump cooling system: Individual room heat pump
HPCMINI|Heat pump cooling system: Ductless mini-split
HPCVRF|Heat pump cooling system: Variable refrigerant flow
HPCAIR|Heat pump cooling type: Air source
HPCGRD|Heat pump cooling type: Ground source
HPCDUAL|Heat pump cooling type: Dual source
HPCWTR|Heat pump cooling type: Water loop
CLVCAV|Cooling ventilation: Central air-handling unit with CAV
