Performing Arts|91
Police Station|7
Courthouse|2
Other - Mall|24
Museum|13
Other - Entertainment/Public Assembly|13
Wholesale Club/Supercenter|6
Other|91
Social/Meeting Hall|13
Fitness Center/Health Club/Gym|13
College/University|14
Senior Care Community|13
Other - Services|26
Self-Storage Facility|5
Not Available|-1
Refrigerated Warehouse|11
Repair Services (Vehicle, Shoe, Locksmith, etc.)|26
Urgent Care/Clinic/Other Outpatient|8
Hotel|18
Bank Branch|2
Data Center|11
Automobile Dealership|25
Hospital (General Medical & Surgical)|16
Enclosed Mall|24
Retail Store|25
Multifamily Housing|-1
Financial Office|2
Outpatient Rehabilitation/Physical Therapy|8
Other - Recreation|91
Medical Office|2
Restaurant|6
Other - Lodging/Residential|18
Adult Education|14
Other - Specialty Hospital|16
Residence Hall/Dormitory|18
Manufacturing/Industrial Plant|-1
Strip Mall|23
Office|2
Supermarket/Grocery Store|6
Other - Utility|91
Worship Facility|12
Library|13
Other - Education|14
Parking|-1
K-12 School|14
Laboratory|4
Distribution Center|5
Personal Services (Health/Beauty, Dry Cleaning, etc.)|26
Mixed Use Property|-1
Non-Refrigerated Warehouse|5
Ambulatory Surgical Center|16
Movie Theater|13
Other - Public Services|7
Lifestyle Center|13
Residential Care Facility|16
